COMMON_NAME,GENUS,SPECIES,"Shade Tolerance Index",SPCD
"Buckley oak",Quercus,buckleyi,0.5,8513
"Lacey oak",Quercus,laceyi,0.5,8514
"Anacahuita Texas Olive",Cordia,boissieri,0.5,8651
"fir spp.",Abies,spp.,1,10
"Pacific silver fir",Abies,amabilis,1,11
"balsam fir",Abies,balsamea,1,12
"Santa Lucia or bristlecone fir",Abies,bracteata,1,14
"white fir",Abies,concolor,0.75,15
"Fraser fir",Abies,fraseri,1,16
"grand fir",Abies,grandis,0.75,17
"corkbark fir",Abies,lasiocarpa,0.75,18
"subalpine fir",Abies,lasiocarpa,0.75,19
"California red fir",Abies,magnifica,0.75,20
"Shasta red fir",Abies,shastensis,1,21
"noble fir",Abies,procera,0,22
"white-cedar spp.",Chamaecyparis,spp.,1,40
Port-Orford-cedar,Chamaecyparis,lawsoniana,0.75,41
"Alaska yellow-cedar",Chamaecyparis,nootkatensis,0.75,42
"Atlantic white-cedar",Chamaecyparis,thyoides,0.5,43
cypress,Cupressus,spp.,0.5,50
"Arizona cypress",Cupressus,arizonica,0.5,51
"Baker or Modoc cypress",Cupressus,bakeri,0.5,52
"Tecate cypress",Cupressus,forbesii,0.5,53
"Monterey cypress",Cupressus,macrocarpa,0.5,54
"Sargent's cypress",Cupressus,sargentii,0.5,55
"MacNab's cypress",Cupressus,macnabiana,0.5,56
"redcedar/juniper spp.",Juniperus,spp.,0,57
"Pinchot juniper",Juniperus,pinchotii,0,58
"redberry juniper",Juniperus,coahuilensis,0,59
"Drooping juniper",Juniperus,flaccida,0,60
"Ashe juniper",Juniperus,ashei,0,61
"California juniper",Juniperus,californica,0,62
"alligator juniper",Juniperus,deppeana,0,63
"western juniper",Juniperus,occidentalis,0.25,64
"Utah juniper",Juniperus,osteosperma,0,65
"Rocky Mountain juniper",Juniperus,scopulorum,0,66
"southern redcedar",Juniperus,virginiana,0,67
"eastern redcedar",Juniperus,virginiana,0,68
"oneseed juniper",Juniperus,monosperma,0,69
"larch spp.",Larix,spp.,0,70
"tamarack (native)",Larix,laricina,0,71
"subalpine larch",Larix,lyallii,0,72
"western larch",Larix,occidentalis,0,73
incense-cedar,Calocedrus,decurrens,0.5,81
"spruce spp.",Picea,spp.,1,90
"Norway spruce",Picea,abies,1,91
"Brewer spruce",Picea,breweriana,0.75,92
"Engelmann spruce",Picea,engelmannii,0.75,93
"white spruce",Picea,glauca,0.5,94
"black spruce",Picea,mariana,0.75,95
"blue spruce",Picea,pungens,0.5,96
"red spruce",Picea,rubens,1,97
"Sitka spruce",Picea,sitchensis,0.75,98
"pine spp.",Pinus,spp.,0,100
"whitebark pine",Pinus,albicaulis,0.5,101
"Rocky Mountain bristlecone pine",Pinus,aristata,0,102
"knobcone pine",Pinus,attenuata,0,103
"foxtail pine",Pinus,balfouriana,0,104
"jack pine",Pinus,banksiana,0.25,105
"common or two-needle pinyon",Pinus,edulis,0.25,106
"sand pine",Pinus,clausa,0.5,107
"lodgepole pine",Pinus,contorta,0,108
"Coulter pine",Pinus,coulteri,0,109
"shortleaf pine",Pinus,echinata,0,110
"slash pine",Pinus,elliottii,0.5,111
"Apache pine",Pinus,engelmannii,0.5,112
"limber pine",Pinus,flexilis,0.25,113
"southwestern white pine",Pinus,strobiformis,0.5,114
"spruce pine",Pinus,glabra,1,115
"Jeffrey pine",Pinus,jeffreyi,0.25,116
"sugar pine",Pinus,lambertiana,0.5,117
"Chihuahua pine",Pinus,leiophylla,0.5,118
"western white pine",Pinus,monticola,0.5,119
"bishop pine",Pinus,muricata,0,120
"longleaf pine",Pinus,palustris,0.25,121
"ponderosa pine",Pinus,ponderosa,0.25,122
"Table Mountain pine",Pinus,pungens,0.25,123
"Monterey pine",Pinus,radiata,0.5,124
"red pine",Pinus,resinosa,0.25,125
"pitch pine",Pinus,rigida,0.25,126
"gray or California foothill pine",Pinus,sabiniana,0,127
"pond pine",Pinus,serotina,0.25,128
"eastern white pine",Pinus,strobus,0.5,129
"Scotch pine",Pinus,sylvestris,0.25,130
"loblolly pine",Pinus,taeda,0.25,131
"Virginia pine",Pinus,virginiana,0.25,132
"singleleaf pinyon",Pinus,monophylla,0,133
"border pinyon",Pinus,discolor,0,134
"Arizona pine",Pinus,arizonica,0,135
"Austrian pine",Pinus,nigra,0.25,136
"Washoe pine",Pinus,washoensis,0,137
"four-leaf or Parry pinyon pine",Pinus,quadrifolia,0,138
"Torrey pine",Pinus,torreyana,0,139
"Mexican pinyon pine",Pinus,cembroides,0,140
"Papershell pinyon pine",Pinus,remota,0,141
"Great Basin bristlecone pine",Pinus,longaeva,0,142
"Arizona pinyon pine",Pinus,monophylla,0.5,143
"Honduras pine",Pinus,elliottii,0.25,144
"Douglas-fir spp.",Pseudotsuga,spp.,0.5,200
"bigcone Douglas-fir",Pseudotsuga,macrocarpa,0.25,201
